"ID","age","gender","consent","expectedMemory","memoryCond","instructionCond","listlength","deltaLength","numEnd","ListRecency","Position","WordPresented","WordRecalled","Inpos","Box"
10008,21,2,1,1,1,1,25,0,1,0,11,"Watermelon","",27,NA
10008,21,2,1,1,1,1,25,0,1,0,12,"Button","",27,NA
10008,21,2,1,1,1,1,25,0,1,0,13,"Ox","",27,NA
10008,21,2,1,1,1,1,25,0,1,0,14,"Pants","",27,NA
10008,21,2,1,1,1,1,25,0,1,0,15,"Pound coin","",27,NA
10008,21,2,1,1,1,1,25,0,1,0,16,"Frying pan","",27,NA
10008,21,2,1,1,1,1,25,0,1,0,17,"Wicket","",27,NA
10008,21,2,1,1,1,1,25,0,1,0,18,"Garage","",27,NA
10008,21,2,1,1,1,1,25,0,1,0,19,"Envelope","",27,NA
10008,21,2,1,1,1,1,25,0,1,0,20,"Horse","",27,NA
10008,21,2,1,1,1,1,25,0,1,0,21,"Key","",27,NA
10008,21,2,1,1,1,1,25,0,1,0,22,"Newspaper","",27,NA
10008,21,2,1,1,1,1,25,0,1,0,23,"Truck","",27,NA
10008,21,2,1,1,1,1,25,0,1,0,24,"Lamb","",27,NA
10008,21,2,1,1,1,1,25,0,1,0,25,"Pig","",27,NA
10007,26,2,1,0,1,1,25,0,1,-4,1,"Radio","fork",19,NA
10007,26,2,1,0,1,1,25,0,1,-4,2,"Wardrobe","ruby",23,NA
10007,26,2,1,0,1,1,25,0,1,-4,3,"Spade","car",5,NA
10007,26,2,1,0,1,1,25,0,1,-4,4,"Apricot","turtle",21,NA
10007,26,2,1,0,1,1,25,0,1,-4,5,"Can","cantaloupe",10,NA
10007,26,2,1,0,1,1,25,0,1,-4,6,"Bean","beagle",24,NA
10007,26,2,1,0,1,1,25,0,1,-4,7,"Bagel","sponge",26,NA
10007,26,2,1,0,1,1,25,0,1,-4,8,"Sink","parachute",12,NA
10007,26,2,1,0,1,1,25,0,1,-4,9,"Cane","end",26,NA
10007,26,2,1,0,1,1,25,0,1,-4,10,"Cantaloupe","",27,NA
10007,26,2,1,0,1,1,25,0,1,-4,11,"Grater","",27,NA
10007,26,2,1,0,1,1,25,0,1,-4,12,"Parachute","",27,NA
10007,26,2,1,0,1,1,25,0,1,-4,13,"Light-bulb","",27,NA
10007,26,2,1,0,1,1,25,0,1,-4,14,"Orangutan","",27,NA
10007,26,2,1,0,1,1,25,0,1,-4,15,"Spoon","",27,NA
10007,26,2,1,0,1,1,25,0,1,-4,16,"Parsnip","",27,NA
10007,26,2,1,0,1,1,25,0,1,-4,17,"Ice-cube","",27,NA
10007,26,2,1,0,1,1,25,0,1,-4,18,"Earring","",27,NA
10007,26,2,1,0,1,1,25,0,1,-4,19,"Fork","",27,NA
10007,26,2,1,0,1,1,25,0,1,-4,20,"Whistle","",27,NA
10007,26,2,1,0,1,1,25,0,1,-4,21,"Turtle","",27,NA
10007,26,2,1,0,1,1,25,0,1,-4,22,"Bucket","",27,NA
10007,26,2,1,0,1,1,25,0,1,-4,23,"Ruby","",27,NA
10007,26,2,1,0,1,1,25,0,1,-4,24,"Beagle","",27,NA
10007,26,2,1,0,1,1,25,0,1,-4,25,"Kitten","",27,NA
10007,26,2,1,0,1,1,25,0,1,-3,1,"Hatchet","toe",20,NA
10007,26,2,1,0,1,1,25,0,1,-3,2,"Radiator","watermelon",14,NA
10007,26,2,1,0,1,1,25,0,1,-3,3,"Unicorn","gazelle",10,NA
10007,26,2,1,0,1,1,25,0,1,-3,4,"Pumpkin","condom",18,NA
10007,26,2,1,0,1,1,25,0,1,-3,5,"Dice","tablet",23,NA
10007,26,2,1,0,1,1,25,0,1,-3,6,"Frog","wok",7,NA
10007,26,2,1,0,1,1,25,0,1,-3,7,"Wok","pot",24,NA
10007,26,2,1,0,1,1,25,0,1,-3,8,"Pipe","end",26,NA
10007,26,2,1,0,1,1,25,0,1,-3,9,"Tomato","",27,NA
10007,26,2,1,0,1,1,25,0,1,-3,10,"Gazelle","",27,NA
10007,26,2,1,0,1,1,25,0,1,-3,11,"Shoe","",27,NA
10007,26,2,1,0,1,1,25,0,1,-3,12,"Stereo","",27,NA
10007,26,2,1,0,1,1,25,0,1,-3,13,"Midget","",27,NA
10007,26,2,1,0,1,1,25,0,1,-3,14,"Watermelon","",27,NA
10007,26,2,1,0,1,1,25,0,1,-3,15,"Hamburger","",27,NA
10007,26,2,1,0,1,1,25,0,1,-3,16,"Eskimo","",27,NA
10007,26,2,1,0,1,1,25,0,1,-3,17,"Gameboy","",27,NA
10007,26,2,1,0,1,1,25,0,1,-3,18,"Condom","",27,NA
10007,26,2,1,0,1,1,25,0,1,-3,19,"Crab","",27,NA
10007,26,2,1,0,1,1,25,0,1,-3,20,"Toe","",27,NA
10007,26,2,1,0,1,1,25,0,1,-3,21,"French-fry","",27,NA
10007,26,2,1,0,1,1,25,0,1,-3,22,"Rat","",27,NA
10007,26,2,1,0,1,1,25,0,1,-3,23,"Tablet","",27,NA
10007,26,2,1,0,1,1,25,0,1,-3,24,"Pot","",27,NA
10007,26,2,1,0,1,1,25,0,1,-3,25,"Wrist","",27,NA
10007,26,2,1,0,1,1,25,0,1,-2,1,"Eye","marshmellow",24,NA
10007,26,2,1,0,1,1,25,0,1,-2,2,"Coffin","quail",19,NA
10007,26,2,1,0,1,1,25,0,1,-2,3,"Bowl","finger",10,NA
10007,26,2,1,0,1,1,25,0,1,-2,4,"Igloo","nose",22,NA
10007,26,2,1,0,1,1,25,0,1,-2,5,"Steak","carriage",23,NA
10007,26,2,1,0,1,1,25,0,1,-2,6,"Leek","end",1,NA
